Score,Accuracy,Precision,Recall,F1 Score,max_f1score
-0.814870739,0.547297297,0.556149733,0.670967742,0.608187135,0.663185379
-0.880804954,0.53125,0.505882353,0.316176471,0.389140271,0.663185379
-0.930239521,0.521172638,0.454545455,0.25,0.322580645,0.663185379
-0.864607843,0.534965035,0.511278195,0.5,0.505576208,0.663185379
-1.112110312,0.472324723,0.47027027,0.659090909,0.548895899,0.663185379
-0.855305612,0.540268456,0.4875,0.288888889,0.362790698,0.663185379
-0.949221949,0.514285714,0.484126984,0.462121212,0.472868217,0.663185379
-1.175326852,0.45631068,0.464516129,0.458598726,0.461538462,0.663185379
-1.03902439,0.493421053,0.47008547,0.785714286,0.588235294,0.663185379
-1.042980296,0.49201278,0.463917526,0.620689655,0.530973451,0.663185379
-0.928339074,0.520689655,0.483870968,0.559701493,0.519031142,0.663185379
-0.880503145,0.531772575,0.5,0.107142857,0.176470588,0.663185379
-0.770833333,0.559259259,0.52892562,0.507936508,0.518218623,0.663185379
-1.071527778,0.483552632,0.506493506,0.73125,0.598465473,0.663185379
-1.005411804,0.5,0.476470588,0.554794521,0.512658228,0.663185379
-1.111248573,0.472413793,0.415384615,0.190140845,0.260869565,0.663185379
-0.727148927,0.568265683,0.584158416,0.440298507,0.50212766,0.663185379
-1.035212405,0.492063492,0.461538462,0.357615894,0.402985075,0.663185379
-1.027913101,0.493377483,0.487068966,0.768707483,0.596306069,0.663185379
-1.145729403,0.464539007,0.425925926,0.340740741,0.378600823,0.663185379
-1.180708181,0.460992908,0.427777778,0.611111111,0.503267974,0.663185379
-0.82268738,0.544520548,0.538834951,0.744966443,0.625352113,0.663185379
-1.354698031,0.413907285,0.347457627,0.290780142,0.316602317,0.663185379
-1.04137931,0.489864865,0.5,0.59602649,0.543806647,0.663185379
-1.17616307,0.456747405,0.442307692,0.496402878,0.46779661,0.663185379
-0.893270194,0.528619529,0.493670886,0.28057554,0.357798165,0.663185379
-1.048904982,0.488448845,0.471698113,0.51369863,0.491803279,0.663185379
-0.991634656,0.504885993,0.47311828,0.61971831,0.536585366,0.663185379
-1.066587709,0.483443709,0.490066225,0.483660131,0.486842105,0.663185379
-0.943944099,0.514018692,0.525641026,0.25625,0.344537815,0.663185379
-0.970793487,0.508196721,0.45,0.123287671,0.193548387,0.663185379
-0.904198921,0.523972603,0.519230769,0.55862069,0.53820598,0.663185379
-1.082587065,0.484949833,0.443181818,0.582089552,0.503225806,0.663185379
-0.975348837,0.508960573,0.467213115,0.441860465,0.454183267,0.663185379
-0.837083747,0.545751634,0.494252874,0.627737226,0.553054662,0.663185379
-0.925476912,0.52,0.482758621,0.197183099,0.28,0.663185379
-1.022895197,0.494773519,0.507614213,0.675675676,0.678924,0.678924
-0.924127709,0.518987342,0.523178808,0.496855346,0.509677419,0.678924
-0.881840491,0.530351438,0.515151515,0.34,0.409638554,0.678924
-1.008781816,0.508474576,0.426356589,0.436507937,0.431372549,0.678924
